Company,CEO,CEO Linkedin Profile,Vice President,Vice President Linkedin Profile
Nordic American Offshore Ltd,Tor Øyvind Bjørkli ,https://no.linkedin.com/in/tor-%C3%B8yvind-bj%C3%B8rkli-700ba99,Tomas Nilsen ,https://no.linkedin.com/in/tomasnilsendess
Norfolk Souther Corporation,Result Not Found,"Mike McClellan - Vice President, Industrial Products - Norfolk ...",Result Not Found,Fred Ehlers - VP Information Technology & CIO - Norfolk Southern ...
"Old Dominion Freight Line, Inc.",David Congdon ,https://www.linkedin.com/in/david-congdon-b296aa27,David Carter ,https://www.linkedin.com/in/david-carter-655b034a
"Overseas Shipholding Group, Inc.",Captain Ian T Blackley ,https://www.linkedin.com/in/captain-ian-t-blackley-2a216730,Damon Mote ,https://www.linkedin.com/in/damon-mote-458a50a
"P.A.M. Transportation Services, Inc.","Allen West, CPA, CGMA ",https://www.linkedin.com/in/allen-west-cpa-cgma-6744a37,"Allen West, CPA, CGMA ",https://www.linkedin.com/in/allen-west-cpa-cgma-6744a37
Pangaea Logistics Solutions Ltd.,Christine Jenkins ,https://www.linkedin.com/in/jenkinschristine,Gianni Del Signore ,https://www.linkedin.com/in/gianni-del-signore-4767608
"Patriot Transportation Holding, Inc.",Rob Sandlin ,https://www.linkedin.com/in/rob-sandlin-ab709811,Jeffrey Anthony ,https://www.linkedin.com/in/jeffrey-anthony-b63a961a
"PHI, Inc.",antony basha ,https://in.linkedin.com/in/antony-basha-4aaa93125,James (Jamie) Hinch ,https://www.linkedin.com/in/james-jamie-hinch-9b86a75
"PHI, Inc.",antony basha ,https://in.linkedin.com/in/antony-basha-4aaa93125,James (Jamie) Hinch ,https://www.linkedin.com/in/james-jamie-hinch-9b86a75
Pyxis Tankers Inc.,henry williams ,https://www.linkedin.com/in/henry-williams-55258a52,henry williams ,https://www.linkedin.com/in/henry-williams-55258a52
"Radiant Logistics, Inc.",Bohn Crain ,https://www.linkedin.com/in/bohn-crain-a829b013,Todd Macomber ,https://www.linkedin.com/in/todd-macomber-35b18a5
"Roadrunner Transportation Systems, Inc",Pat McKay ,https://www.linkedin.com/in/pat-mckay-2261b88,Pat McKay ,https://www.linkedin.com/in/pat-mckay-2261b88
Ryanair Holdings plc,Michael O'Brien ,https://ie.linkedin.com/in/michael-o-brien-b7112571,John Connor ,https://www.linkedin.com/in/john-connor-16579b62
"Safe Bulkers, Inc",Sevastiana Lagonika ,https://cy.linkedin.com/in/sevastiana-lagonika-78a56316a,Lambros Papaeconomou ,https://www.linkedin.com/in/lambros-papaeconomou-377a1b31
"Saia, Inc.",John Gainor ,https://www.linkedin.com/in/john-gainor-888b48162,Fritz Holzgrefe ,https://www.linkedin.com/in/fritzholzgrefe
"Schneider National, Inc.",Marc Rogers ,https://www.linkedin.com/in/marc-rogers-55a8aa1b,Tom DiSalvi ,https://www.linkedin.com/in/tom-disalvi-267235b
Scorpio Bulkers Inc.,Michael Ferrante ,https://www.linkedin.com/in/michael-ferrante-60500821,Tarun Kumar ,https://in.linkedin.com/in/tarun-kumar-430651b
Scorpio Bulkers Inc.,Michael Ferrante ,https://www.linkedin.com/in/michael-ferrante-60500821,Tarun Kumar ,https://in.linkedin.com/in/tarun-kumar-430651b
Scorpio Tankers Inc.,Reidar Brekke ,https://www.linkedin.com/in/reidar-brekke-8baa4724,Tarun Kumar ,https://in.linkedin.com/in/tarun-kumar-430651b
Scorpio Tankers Inc.,Reidar Brekke ,https://www.linkedin.com/in/reidar-brekke-8baa4724,Tarun Kumar ,https://in.linkedin.com/in/tarun-kumar-430651b
Scorpio Tankers Inc.,Reidar Brekke ,https://www.linkedin.com/in/reidar-brekke-8baa4724,Tarun Kumar ,https://in.linkedin.com/in/tarun-kumar-430651b
"SEACOR Holdings, Inc.",Michael LaFleur ,https://www.linkedin.com/in/michael-lafleur-59b9387b,Robert Clemons ,https://www.linkedin.com/in/robert-clemons-a70aa330
SEACOR Marine Holdings Inc.,Sherrie Barker ,https://www.linkedin.com/in/sherrie-barker-359a5a3,Ken Sebek ,https://www.linkedin.com/in/ken-sebek-02483a5
Seanergy Maritime Holdings Corp,Stamatis Tsantanis ,https://gr.linkedin.com/in/stamatis-tsantanis-b58b7645,Dimitris Anagnostopoulos ,https://uk.linkedin.com/pub/dimitris-anagnostopoulos/5a/3a/462
Seanergy Maritime Holdings Corp,Stamatis Tsantanis ,https://gr.linkedin.com/in/stamatis-tsantanis-b58b7645,Dimitris Anagnostopoulos ,https://uk.linkedin.com/pub/dimitris-anagnostopoulos/5a/3a/462
Seaspan Corporation,Bing Chen ,https://be.linkedin.com/pub/bing-chen/19/138/941,Matthew Tinari ,https://www.linkedin.com/in/matthew-tinari-6784b29
Seaspan Corporation,Bing Chen ,https://be.linkedin.com/pub/bing-chen/19/138/941,Matthew Tinari ,https://www.linkedin.com/in/matthew-tinari-6784b29
Seaspan Corporation,Bing Chen ,https://be.linkedin.com/pub/bing-chen/19/138/941,Matthew Tinari ,https://www.linkedin.com/in/matthew-tinari-6784b29
Ship Finance International Limited,Lars Solbakken ,https://no.linkedin.com/in/lars-solbakken-9512b416,Espen Gjerde (Nilsen) ,https://no.linkedin.com/in/espen-gjerde-nilsen-62327a3
"Sino-Global Shipping America, Ltd.",Anthony S. Chan ,https://www.linkedin.com/in/anthony-s-chan-1986785,Anthony S. Chan ,https://www.linkedin.com/in/anthony-s-chan-1986785
"SkyWest, Inc.",Michael Kraupp ,https://www.linkedin.com/in/michael-kraupp-29112313,Tracy T. Gallo ,https://www.linkedin.com/in/tracy-t-gallo-48736a49
Southwest Airlines Company,Paul Jackson ,https://www.linkedin.com/in/paul-jackson-a8a16222,Blair McGrain ,https://www.linkedin.com/in/blair-mcgrain-3348b24
"Spirit Airlines, Inc.",Tashia Hamilton ,https://www.linkedin.com/in/tashia-hamilton-b7310b39,Gregory Christopher ,https://www.linkedin.com/in/gregory-christopher-a4258033
Star Bulk Carriers Corp.,Hamish Norton ,https://www.linkedin.com/in/hamishnorton,Todd Wilson ,https://www.linkedin.com/in/todd-wilson-06072635
Star Bulk Carriers Corp.,Hamish Norton ,https://www.linkedin.com/in/hamishnorton,Todd Wilson ,https://www.linkedin.com/in/todd-wilson-06072635
"StealthGas, Inc.",Andrew Simmons ,https://gr.linkedin.com/in/andrew-simmons-95b11a1b,Andrew Simmons ,https://gr.linkedin.com/in/andrew-simmons-95b11a1b
Teekay Corporation,Kevin Mackay ,https://ca.linkedin.com/in/kevinjmackay,Paul Townsend ,https://www.linkedin.com/in/paul-townsend-b154a525
TOP Ships Inc.,Demetris Souroullas ,https://www.linkedin.com/in/demetris-souroullas-5722b22b,Demetris Souroullas ,https://www.linkedin.com/in/demetris-souroullas-5722b22b
TORM plc,Bernardo Cataggatan ,https://www.linkedin.com/in/bernardo-cataggatan-4a9681100,Sameer Katkar ,https://in.linkedin.com/in/sameer-katkar-45b205150
Tsakos Energy Navigation Ltd,George Saroglou ,https://gr.linkedin.com/in/george-saroglou-564a564,Harrys Kosmatos ,https://gr.linkedin.com/in/harrys-kosmatos-70231137
"U.S. Xpress Enterprises, Inc.",Craig Fuller ,https://www.linkedin.com/in/incab,Brian Baubach ,https://www.linkedin.com/in/brianbaubach
Union Pacific Corporation,John Newman ,https://www.linkedin.com/in/john-newman-0b5019151,Lynden Tennison ,https://www.linkedin.com/in/lynden-tennison-23a976138
"United Continental Holdings, Inc.",Peter Li (李晨阳) ,https://www.linkedin.com/in/chenyangli,Sarah Rae Murphy ,https://www.linkedin.com/in/sarah-rae-murphy-5a995a3
"United Parcel Service, Inc.",John DuBiel ,https://www.linkedin.com/in/john-dubiel-7a443a49,Michael Ryan ,https://www.linkedin.com/in/michaelaryan1
"Universal Logistics Holdings, Inc.",Jeff Rogers ,https://www.linkedin.com/in/jeff-rogers-9656a632,Kimberly Arnold ,https://www.linkedin.com/in/kimberly-arnold-b624249b
"USA Truck, Inc.",Tom Glaser ,https://www.linkedin.com/in/tom-glaser-72a10b6,Katherine Knight ,https://www.linkedin.com/in/katherine-knight-88b09216
USD Partners LP,Sara Graziano ,https://www.linkedin.com/in/sara-graziano-009a7158,M. Jay S. ,https://www.linkedin.com/in/m-jay-s-47b2b384
"Werner Enterprises, Inc.",Jack Holmes ,https://www.linkedin.com/in/jack-holmes-80756837,Craig Stoffel ,https://www.linkedin.com/in/craig-stoffel-3219ba9
"YRC Worldwide, Inc.",Darren D Hawkins ,https://www.linkedin.com/in/darren-d-hawkins-b3358531,Josh Yatch ,https://www.linkedin.com/in/josh-yatch-b918aa1a
ZTO Express (Cayman) Inc.,ZTO Express ,https://cn.linkedin.com/in/zto-express-205a49147,Result Not Found,No Results
