Company,CEO,CEO Linkedin Profile,Vice President,Vice President Linkedin Profile,Company Website
"Tetra Technologies, Inc.",Liz Evans ,https://www.linkedin.com/in/liz-evans-b2049811,Matthew Sanderson ,https://www.linkedin.com/in/matthew-sanderson-6911a96,https://www.tetratec.com/
Texas Pacific Land Trust,Sara Sivakumar ,https://www.linkedin.com/in/sara-sivakumar-00792b4a,"Stephanie Buffington, CPA ",https://www.linkedin.com/in/stephanie-buffington-cpa-820a3110,https://www.tpltrust.com
"Thermon Group Holdings, Inc.",Jean,https://ca.linkedin.com/in/jean-marc-singh,Jim Pribble ,https://www.linkedin.com/in/jimpribble,https://www.thermon.com
"Torchlight Energy Resources, Inc.",John Brda ,https://www.linkedin.com/in/john-brda-52a8472,Result Not Found,No Results,https://www.torchlightenergy.com/
Total S.A.,Luigi Colantuoni ,https://www.linkedin.com/in/luigi-colantuoni-49192543,Francois Alabert ,https://www.linkedin.com/in/francois-alabert-3a73436/,https://www.total.com
"TPI Composites, Inc.",Steve Lockard ,https://www.linkedin.com/in/steve-lockard-bb774357,Bill Siwek ,https://www.linkedin.com/in/bill-siwek-9b4a511a,https://www.tpicomposites.com
Transatlantic Petroleum Ltd,Mel Riggs ,https://www.linkedin.com/in/mel-riggs-b991785,Tabitha Bailey ,https://www.linkedin.com/in/tabitha-bailey-00a90328,https://www.transatlanticpetroleum.com
TransGlobe Energy Corporation,Jeff Edelman ,https://www.linkedin.com/in/jeff-edelman-7b391868,Randy Neely ,https://ca.linkedin.com/in/randy-neely-3b782629,https://www.trans-globe.com
Transocean Ltd.,Mark Mey ,https://www.linkedin.com/in/mark-mey-5a7ab923,Mark Mey ,https://www.linkedin.com/in/mark-mey-5a7ab923,https://www.deepwater.com
Trecora Resources,Patrick Quarles ,https://www.linkedin.com/in/patrick-quarles-3a45a68,Patrick Quarles ,https://www.linkedin.com/in/patrick-quarles-3a45a68,https://www.trecora.com
U.S. Energy Corp.,Ryan Smith ,https://www.linkedin.com/in/ryan-smith-67537222,Ryan Smith ,https://www.linkedin.com/in/ryan-smith-67537222,https://www.usnrg.com
"U.S. Well Services, Inc.",Matt Bernard ,https://www.linkedin.com/in/matt-bernard-503729110,Mark D. Wolf ,https://www.linkedin.com/in/mark-d-wolf-71012a8,https://www.uswellservices.com
"U.S. Well Services, Inc.",Matt Bernard ,https://www.linkedin.com/in/matt-bernard-503729110,Mark D. Wolf ,https://www.linkedin.com/in/mark-d-wolf-71012a8,https://www.uswellservices.com
Ultra Petroleum Corp.,"Marshall (""Mark"") Smith ",https://www.linkedin.com/in/mark-smith-cfo,"Marshall (""Mark"") Smith ",https://www.linkedin.com/in/mark-smith-cfo,https://www.ultrapetroleum.com
Unit Corporation,Brent Bradford ,https://www.linkedin.com/in/brent-bradford-38910581,Joe Sparkman ,https://www.linkedin.com/in/joe-sparkman-5741a612a,https://www.unitcorp.com
"VAALCO Energy, Inc.",Steve Guidry ,https://www.linkedin.com/in/steve-guidry-a752ba3a,David DesAutels ,https://www.linkedin.com/in/david-desautels,https://www.vaalco.com
Valero Energy Corporation,Micheal Ciskowski ,https://www.linkedin.com/in/micheal-ciskowski-60449114,Garry Kirker ,https://www.linkedin.com/in/garry-kirker-6781baa,https://www.valero.com
Vermilion Energy Inc.,Michael Kaluza ,https://ca.linkedin.com/in/michael-kaluza-863458a8,Michael Kaluza ,https://ca.linkedin.com/in/michael-kaluza-863458a8,https://www.vermilionenergy.com
"Vertex Energy, Inc",Paul Duff ,https://www.linkedin.com/in/paul-duff-7412aa38,Greg Butler ,https://www.linkedin.com/in/greg-butler-792a1649,https://www.vertexenergy.com
Viper Energy Partners LP,"Robert Rigney, RPL ",https://www.linkedin.com/in/robertrigney,"Robert Rigney, RPL – Senior Landman – Viper Energy Partners, LP ..",https://www.linkedin.com/in/robertrigney/de,https://www.viperenergy.com
VOC Energy Trust,Result Not Found,No Results,Result Not Found,No Results,https://voc.investorhq.businesswire.com/
"W&T Offshore, Inc.",Steve Schroeder ,https://www.linkedin.com/in/steve-schroeder-8b2728b9,William Williford ,https://www.linkedin.com/in/william-williford-b3646231,https://www.wtoffshore.com
