Company,CEO,CEO Linkedin Profile,Vice President,Vice President Linkedin Profile,Company Website
Infinera Corporation,John Daane ,https://www.linkedin.com/in/john-daane-03952738,Lisa Byerly Dettling ,https://www.linkedin.com/in/lisa-byerly-dettling-8a42525,https://http//www.infinera.com
Internet Gold Golden Lines Ltd.,Ehud Yahalom ,https://www.linkedin.com/in/ehud-yahalom-630474a2,Meir Bardugo ,https://il.linkedin.com/in/meir-bardugo-85279843,https://http//www.igld.com
Interstate Power and Light Company,Anne Carter ,https://www.linkedin.com/in/anne-carter-5937562,Mark McCune ,https://www.linkedin.com/in/markgmccune,https://http//www.alliantenergy.com
Jensyn Acquistion Corp.,Result Not Found,No Results,Result Not Found,No Results,https://http//www.jensyn.com
Jensyn Acquistion Corp.,Result Not Found,No Results,Result Not Found,No Results,https://http//www.jensyn.com
Jensyn Acquistion Corp.,Result Not Found,No Results,Result Not Found,No Results,https://http//www.jensyn.com
Jensyn Acquistion Corp.,Result Not Found,No Results,Result Not Found,No Results,https://http//www.jensyn.com
"Just Energy Group, Inc.",Pat McCullough ,https://www.linkedin.com/in/mcculloughceo,Lu Zhang ,https://ca.linkedin.com/in/lu-zhang-8b238611,N/A
Kenon Holdings Ltd.,Cyril Ducau ,https://sg.linkedin.com/in/cyril-ducau-3506939,Barak Cohen ,https://sg.linkedin.com/in/barak-cohen-2a8b0b35,https://http//www.kenon-holdings.com
"Kinder Morgan, Inc.",Richard Kinder ,https://www.linkedin.com/in/richard-kinder-a7b2b759,Catherine Callaway James ,https://www.linkedin.com/in/catherine-callaway-james-2b515b27,https://http//www.kindermorgan.com
Korea Electric Power Corporation,Seok,https://jo.linkedin.com/in/seok-bae-yun-3a772b3b,Young Jin (Eugene) Bae ,https://www.linkedin.com/in/young-jin-eugene-bae-75929361,https://http//www.kepco.co.kr
KT Corporation,Evan Koslow ,https://www.linkedin.com/in/evan-koslow-6625469,Mark Hyung,https://www.linkedin.com/in/mark-hyung-joon-kim-1027a48,https://http//www.kt.com
MER Telemanagement Solutions Ltd.,Shahar Ismailov ,https://www.linkedin.com/in/shahar-ismailov-1336291,Shahar Ismailov ,https://www.linkedin.com/in/shahar-ismailov-1336291,https://http//www.mtsint.com
Middlesex Water Company,Dennis Doll ,https://www.linkedin.com/in/dennis-doll-93469830,Jay Kooper ,https://www.linkedin.com/in/jay-kooper-787a432,https://http//www.middlesexwater.com
Millicom International Cellular S.A.,Brian Hennessey ,https://www.linkedin.com/in/brian-hennessey-baa19115,Miguel Angel Garay ,https://www.linkedin.com/in/miguel-angel-garay-0091652,https://http//www.millicom.com
