Car Name,Car Price,Car Description,Car Mileage,Car Link,Number of Pictures,Fair Price Rating
2008 Nissan Altima 2.5 S Coupe 2D,"$2,999",N/A,"187,000 miles",https://www.facebook.com/marketplace/item/600395657050827/,16,N/A
2009 Nissan Altima 2.5 Sedan 4D,"$3,600",N/A,"115,547 miles",https://www.facebook.com/marketplace/item/2373578796195921/,10,N/A
2008 Mazda MAZDA2,"$4,000",N/A,"89,000 miles",https://www.facebook.com/marketplace/item/417864348967180/,4,N/A
2005 Honda Civic LX,"$2,995",N/A,"142,000 miles · Dealership",https://www.facebook.com/marketplace/item/338360550097902/,17,N/A
2009 Honda Civic EX Coupe 2D,"$3,900",N/A,"208,324 miles",https://www.facebook.com/marketplace/item/393284091228217/,17,N/A
2005 Acura TL 3.2 Sedan 4D,"$2,700",N/A,"160,000 miles",https://www.facebook.com/marketplace/item/794170557617147/,11,N/A
2012 Ford Fusion S Sedan 4D,"$4,500",N/A,"88,000 miles",https://www.facebook.com/marketplace/item/269668760598601/,20,N/A
2006 Nissan Altima 3.5 SL Sedan 4D,"$2,800",N/A,"128,123 miles",https://www.facebook.com/marketplace/item/1002039926659734/,8,N/A
2013 Dodge Dart SXT Sedan 4D,"$3,000",N/A,"72,000 miles",https://www.facebook.com/marketplace/item/307632406562027/,9,N/A
2007 Honda Civic DX Sedan 4D,"$3,200",N/A,"118,000 miles",https://www.facebook.com/marketplace/item/639187329847415/,6,N/A
2006 Honda Civic EX,"$4,995",N/A,"142,232 miles · Dealership",https://www.facebook.com/marketplace/item/1147066935474808/,18,N/A
2007 INFINITI M45 H,"$4,500",N/A,"14,300 miles",https://www.facebook.com/marketplace/item/832814087058135/,6,N/A
2007 Toyota Camry,"$3,200",N/A,"148,000 miles",https://www.facebook.com/marketplace/item/2174701349255690/,5,N/A
2006 Acura TL 3.2 Sedan 4D,"$3,900",N/A,"154,626 miles",https://www.facebook.com/marketplace/item/2325783537651300/,10,N/A
2006 Volkswagen Jetta 2.5,"$2,499",N/A,"148,923 miles · Dealership",https://www.facebook.com/marketplace/item/358955314869512/,9,N/A
2006 Nissan Altima 3.5 SL Sedan 4D,"$3,900",N/A,"85,000 miles",https://www.facebook.com/marketplace/item/848730832139122/,5,N/A
2008 Nissan Sentra S Sedan 4D,"$2,879",N/A,"125,000 miles",https://www.facebook.com/marketplace/item/1773219352784304/,8,N/A
2008 Honda Civic LX,"$4,995",N/A,"138,222 miles · Dealership",https://www.facebook.com/marketplace/item/384347105477282/,20,N/A
2010 Honda Civic DX Sedan 4D,"$5,600",N/A,"117,000 miles",https://www.facebook.com/marketplace/item/823227228049962/,8,N/A
2010 Honda Civic LX,"$4,495",N/A,"166,000 miles · Dealership",https://www.facebook.com/marketplace/item/1177998632355990/,8,N/A
2004 Honda Civic EX Coupe 2D,"$2,499",N/A,"160,000 miles",https://www.facebook.com/marketplace/item/417633809042284/,12,N/A
2009 Honda Accord EX-L Sedan 4D,"$5,200",N/A,"163,000 miles",https://www.facebook.com/marketplace/item/1031358670408599/,11,N/A
2005 Honda Accord EX Sedan 4D,"$3,200",N/A,"158,000 miles",https://www.facebook.com/marketplace/item/2004971419808395/,3,N/A
2014 Nissan Altima,"$4,000",N/A,"81,000 miles",https://www.facebook.com/marketplace/item/249235992631136/,7,N/A
2006 Honda Accord LX Sedan 4D,"$2,650",N/A,"170,500 miles",https://www.facebook.com/marketplace/item/368529447306627/,6,N/A
2005 Nissan Altima 2.5 S Sedan 4D,"$3,000",N/A,"124,000 miles",https://www.facebook.com/marketplace/item/507175179692169/,10,N/A
2014 Nissan Sentra,"$4,500",N/A,"147,000 miles",https://www.facebook.com/marketplace/item/262641834627653/,5,N/A
2006 Honda Civic EX Sedan 4D,"$2,775",N/A,"156,000 miles",https://www.facebook.com/marketplace/item/322239658497409/,6,N/A
2010 Mazda MAZDA6 i Sport Sedan 4D,"$3,200",N/A,"129,000 miles",https://www.facebook.com/marketplace/item/349026032369585/,4,N/A
2008 Honda Civic EX Sedan 4D,"$4,000",N/A,"130,000 miles",https://www.facebook.com/marketplace/item/2312661028952734/,8,N/A
2012 Honda Civic EX Sedan 4D,"$6,800",N/A,"44,000 miles",https://www.facebook.com/marketplace/item/2196563617032040/,10,N/A
2009 Nissan Altima Hybrid Sedan 4D,"$4,100",N/A,"89,000 miles",https://www.facebook.com/marketplace/item/155953941971948/,5,N/A
2009 Honda Civic,"$4,700",N/A,"67,000 miles",https://www.facebook.com/marketplace/item/2322590551320629/,7,N/A
2005 Acura TSX Sedan 4D,"$4,500",N/A,"106,408 miles",https://www.facebook.com/marketplace/item/243397066612456/,10,N/A
2012 Ford Fusion SE Sedan 4D,"$3,500",N/A,"151,000 miles",https://www.facebook.com/marketplace/item/353706018575715/,8,N/A
2004 Toyota Corolla S Sedan 4D,"$3,995",N/A,"138,222 miles",https://www.facebook.com/marketplace/item/935878756803376/,11,N/A
2005 Nissan Maxima SL Sedan 4D,"$2,600",N/A,"18,000 miles",https://www.facebook.com/marketplace/item/239642673628302/,6,N/A
2005 Honda Accord DX Sedan 4D,"$3,300",N/A,"150,000 miles",https://www.facebook.com/marketplace/item/1904765819652187/,10,N/A
2004 Acura TL 3.2 Sedan 4D,"$3,600",N/A,"195,000 miles",https://www.facebook.com/marketplace/item/254779128731325/,9,N/A
2006 Acura TL,"$2,800",N/A,"3,500 miles",https://www.facebook.com/marketplace/item/404846613425693/,0,N/A
2007 Honda Accord EX-L V-6,"$5,895",N/A,"163,258 miles · Dealership",https://www.facebook.com/marketplace/item/1143139555856887/,20,N/A
2010 Ford Fusion S Sedan 4D,"$3,500",N/A,"130,000 miles",https://www.facebook.com/marketplace/item/2008577812785083/,7,N/A
2009 Subaru Impreza 2.5i Sedan 4D,"$3,700",N/A,"138,000 miles",https://www.facebook.com/marketplace/item/2528415133846505/,8,N/A
2007 Honda Civic Si Coupe 2D,"$4,000",N/A,"143,000 miles",https://www.facebook.com/marketplace/item/1763043807133829/,10,N/A
2007 Nissan Maxima,"$1,850",N/A,"140,000 miles",https://www.facebook.com/marketplace/item/303208697054165/,5,N/A
2015 Honda Civic EX Sedan 4D,"$7,500",N/A,"52,231 miles",https://www.facebook.com/marketplace/item/575283679606387/,6,N/A
2008 Honda Civic Si Sedan 4D,"$5,300",N/A,"147,000 miles",https://www.facebook.com/marketplace/item/2257579304514469/,4,N/A
2007 Mercury Milan Premier Sedan 4D,"$2,300",N/A,"111,000 miles",https://www.facebook.com/marketplace/item/2282543285092311/,19,N/A
2015 Chevrolet Malibu LT Sedan 4D,"$5,000",N/A,"99,000 miles",https://www.facebook.com/marketplace/item/254540695199974/,10,N/A
2008 Ford Fusion,"$2,500",N/A,"150,000 miles",https://www.facebook.com/marketplace/item/386074725519755/,3,N/A
2007 Toyota Camry Hybrid,"$4,800",N/A,N/A,https://www.facebook.com/marketplace/item/541443499673456/,5,N/A
2010 Honda Civic,"$4,300",N/A,"80,000 miles",https://www.facebook.com/marketplace/item/630361634059972/,10,N/A
2005 Nissan Altima,"$3,650",N/A,"183,845 miles · Dealership",https://www.facebook.com/marketplace/item/356944468472760/,10,N/A
2003 Honda Accord EX Sedan 4D,"$2,400",N/A,"190,613 miles",https://www.facebook.com/marketplace/item/343336766392021/,13,N/A
2007 Honda Accord,"$3,100",N/A,"130,000 miles",https://www.facebook.com/marketplace/item/2231672050227536/,5,N/A
2006 Toyota Camry Sedan 4D,"$3,700",N/A,"121,000 miles",https://www.facebook.com/marketplace/item/1175033045994782/,8,N/A
2012 Nissan 200SX,"$4,500",N/A,N/A,https://www.facebook.com/marketplace/item/407118036503032/,4,N/A
2006 Honda Civic EX Coupe 2D,"$2,400",N/A,"136,955 miles",https://www.facebook.com/marketplace/item/2065364060194338/,6,N/A
2005 honda Accord Hybrid,"$1,800",N/A,"170,000 miles",https://www.facebook.com/marketplace/item/547798305663368/,6,N/A
2007 Toyota Camry,"$3,500",N/A,"136,510 miles",https://www.facebook.com/marketplace/item/784695605238367/,10,N/A
2002 Honda Civic,"$1,500",N/A,"140,000 miles",https://www.facebook.com/marketplace/item/643052672796560/,16,N/A
2007 Acura TL,"$4,650",N/A,"143,338 miles",https://www.facebook.com/marketplace/item/267085884210075/,11,N/A
2006 Mazda MAZDA6 i Grand Sport Sedan 4D,"$3,000",N/A,"74,000 miles",https://www.facebook.com/marketplace/item/395019991301710/,2,N/A
2006 Honda Civic Hybrid Sedan 4D,"$2,600",N/A,"173,000 miles",https://www.facebook.com/marketplace/item/333363540632322/,13,N/A
2010 Pontiac G6 Sedan 4D,"$2,200",N/A,"150,000 miles",https://www.facebook.com/marketplace/item/616156265513567/,5,N/A
2006 Nissan Altima,"$2,499",N/A,"144,000 miles · Dealership",https://www.facebook.com/marketplace/item/331961740690409/,10,N/A
2009 Nissan Altima 2.5 S Sedan 4D,"$2,499",N/A,"227,000 miles",https://www.facebook.com/marketplace/item/2518614438209183/,10,N/A
2008 Nissan Altima 2.5 Sedan 4D,"$2,400",N/A,"137,000 miles",https://www.facebook.com/marketplace/item/805038006514704/,6,N/A
2009 Mitsubishi Lancer,"$4,900",N/A,"92,218 miles · Dealership",https://www.facebook.com/marketplace/item/246329429576799/,16,N/A
2004 Honda Accord,"$2,000",N/A,N/A,https://www.facebook.com/marketplace/item/787519631625064/,4,N/A
2004 Nissan Maxima,"$2,650",N/A,"87,000 miles",https://www.facebook.com/marketplace/item/250952019123300/,9,N/A
2012 Nissan Sentra,"$4,750",N/A,"83,000 miles",https://www.facebook.com/marketplace/item/2283350305279183/,13,N/A
2010 Nissan Altima 2.5 S Sedan 4D,"$3,200",N/A,"190,000 miles",https://www.facebook.com/marketplace/item/372980500194659/,6,N/A
2004 Honda Accord EX Sedan 4D,"$2,250",N/A,2 miles,https://www.facebook.com/marketplace/item/492144381282707/,9,N/A
2010 Chevrolet Malibu,"$2,200",N/A,"180,000 miles",https://www.facebook.com/marketplace/item/236379367301812/,7,N/A
2006 Honda Civic Si Coupe 2D,"$4,500",N/A,"95,000 miles",https://www.facebook.com/marketplace/item/308136376563976/,3,N/A
2007 INFINITI G,"$3,880",N/A,"127,000 miles",https://www.facebook.com/marketplace/item/197102837846915/,10,N/A
